,Unnamed: 0,3407,Battery,Date,Direction,Event Type,Fuel,Id,Latitude,Location,Longitude,Map IT,Mileage,Speed,Time Type,imei,time,time_percent,user
473,35,5836.0,2,8/31/18,SE,Engine Off,0,831,40.786137,"Imlay, NV",-119.217155,Map it,8.6982,0.0,8:29 PM,3407,8/31/18 20:29,1.0,2
474,36,5836.0,95,8/27/18,S,Engine Off,0,832,40.777814,"Imlay, NV",-119.20780500000001,Map it,3.1065,0.06213,10:51 AM,3407,8/27/18 10:51,0.465733794,2
475,37,5836.0,95,8/27/18,S,Engine Off,0,833,40.778007,"Imlay, NV",-119.207756,Map it,3.1065,0.12426,10:52 AM,3407,8/27/18 10:52,0.46581809,2
476,38,5836.0,95,8/27/18,S,Engine Off,0,834,40.778007,"Imlay, NV",-119.207756,Map it,3.1065,0.12426,10:57 AM,3407,8/27/18 10:57,0.466239568,2
477,39,5836.0,95,8/27/18,S,Engine Off,0,835,40.778007,"Imlay, NV",-119.207756,Map it,3.1065,0.0,10:58 AM,3407,8/27/18 10:58,0.466323864,2
478,40,5836.0,96,8/27/18,S,Engine Off,0,836,40.777812,"Imlay, NV",-119.207802,Map it,3.16863,0.06213,10:59 AM,3407,8/27/18 10:59,0.46640816,2
479,41,5836.0,95,8/27/18,S,Engine Off,0,837,40.777812,"Imlay, NV",-119.207802,Map it,3.16863,0.06213,11:00 AM,3407,8/27/18 11:00,0.466492456,2
480,42,5836.0,95,8/27/18,S,Engine Off,0,838,40.777812,"Imlay, NV",-119.207802,Map it,3.16863,0.0,11:01 AM,3407,8/27/18 11:01,0.466576751,2
481,43,5836.0,96,8/27/18,S,Engine Off,0,839,40.777812,"Imlay, NV",-119.207802,Map it,3.16863,0.0,11:02 AM,3407,8/27/18 11:02,0.46666104700000005,2
482,44,5836.0,96,8/27/18,S,Engine Off,0,840,40.777812,"Imlay, NV",-119.207802,Map it,3.16863,0.0,11:02 AM,3407,8/27/18 11:02,0.46666104700000005,2
483,45,5836.0,96,8/27/18,S,Engine Off,0,841,40.777812,"Imlay, NV",-119.207802,Map it,3.16863,0.0,11:03 AM,3407,8/27/18 11:03,0.466745343,2
484,46,5836.0,96,8/27/18,S,Engine Off,0,842,40.777812,"Imlay, NV",-119.207802,Map it,3.16863,0.0,11:04 AM,3407,8/27/18 11:04,0.466829638,2
485,47,5836.0,96,8/27/18,S,Engine Off,0,843,40.777812,"Imlay, NV",-119.207802,Map it,3.16863,0.0,11:05 AM,3407,8/27/18 11:05,0.466913934,2
486,48,5836.0,95,8/27/18,S,Engine Off,0,844,40.777812,"Imlay, NV",-119.207802,Map it,3.16863,0.0,11:14 AM,3407,8/27/18 11:14,0.467672595,2
487,49,5836.0,95,8/27/18,S,Engine Off,0,845,40.777812,"Imlay, NV",-119.207802,Map it,3.16863,0.0,11:14 AM,3407,8/27/18 11:14,0.467672595,2
488,50,5836.0,95,8/27/18,S,Engine Off,0,846,40.777812,"Imlay, NV",-119.207802,Map it,3.16863,0.0,11:18 AM,3407,8/27/18 11:18,0.468009778,2
489,51,5836.0,94,8/27/18,S,Engine Off,0,847,40.777812,"Imlay, NV",-119.207802,Map it,3.16863,0.0,11:19 AM,3407,8/27/18 11:19,0.46809407399999997,2
490,52,5836.0,96,8/27/18,S,Engine Off,0,848,40.777812,"Imlay, NV",-119.207802,Map it,3.16863,0.0,11:19 AM,3407,8/27/18 11:19,0.46809407399999997,2
491,53,5836.0,95,8/27/18,S,Engine Off,0,849,40.777812,"Imlay, NV",-119.207802,Map it,3.16863,0.0,11:19 AM,3407,8/27/18 11:19,0.46809407399999997,2
492,54,5836.0,95,8/27/18,S,Engine Off,0,850,40.777812,"Imlay, NV",-119.207802,Map it,3.16863,0.0,11:22 AM,3407,8/27/18 11:22,0.468346961,2
493,55,5836.0,95,8/27/18,S,Engine Off,0,851,40.777812,"Imlay, NV",-119.207802,Map it,3.16863,0.0,11:23 AM,3407,8/27/18 11:23,0.46843125700000005,2
494,56,5836.0,95,8/27/18,S,Engine Off,0,852,40.777812,"Imlay, NV",-119.207802,Map it,3.16863,0.0,11:24 AM,3407,8/27/18 11:24,0.468515553,2
495,57,5836.0,95,8/27/18,S,Engine Off,0,853,40.777812,"Imlay, NV",-119.207802,Map it,3.16863,0.0,11:25 AM,3407,8/27/18 11:25,0.468599848,2
496,58,5836.0,94,8/27/18,S,Engine Off,0,854,40.777812,"Imlay, NV",-119.207802,Map it,3.16863,0.0,11:34 AM,3407,8/27/18 11:34,0.46935851,2
497,59,5836.0,96,8/27/18,S,Engine Off,0,855,40.777812,"Imlay, NV",-119.207802,Map it,3.16863,0.0,11:35 AM,3407,8/27/18 11:35,0.469442805,2
498,60,5836.0,94,8/27/18,S,Engine Off,0,856,40.777812,"Imlay, NV",-119.207802,Map it,3.16863,0.0,11:40 AM,3407,8/27/18 11:40,0.46986428399999997,2
499,61,5836.0,94,8/27/18,S,Engine Off,0,857,40.777812,"Imlay, NV",-119.207802,Map it,3.16863,0.0,11:41 AM,3407,8/27/18 11:41,0.46994858,2
500,62,5836.0,94,8/27/18,S,Engine Off,0,858,40.77778,"Imlay, NV",-119.207656,Map it,3.16863,0.06213,11:51 AM,3407,8/27/18 11:51,0.47079153700000004,2
501,63,5836.0,94,8/27/18,S,Engine Off,0,859,40.77778,"Imlay, NV",-119.207656,Map it,3.16863,0.06213,11:51 AM,3407,8/27/18 11:51,0.47079153700000004,2
502,64,5836.0,94,8/27/18,S,Engine Off,0,860,40.77778,"Imlay, NV",-119.207656,Map it,3.16863,0.0,11:51 AM,3407,8/27/18 11:51,0.47079153700000004,2
503,65,5836.0,94,8/27/18,S,Engine Off,0,861,40.77778,"Imlay, NV",-119.207656,Map it,3.16863,0.0,11:57 AM,3407,8/27/18 11:57,0.471297311,2
504,66,5836.0,94,8/27/18,S,Engine Off,0,862,40.77778,"Imlay, NV",-119.207656,Map it,3.16863,0.0,11:58 AM,3407,8/27/18 11:58,0.47138160700000004,2
505,67,5836.0,94,8/27/18,S,Engine Off,0,863,40.77778,"Imlay, NV",-119.207656,Map it,3.16863,0.0,12:00 PM,3407,8/27/18 12:00,0.471550198,2
506,68,5836.0,94,8/27/18,S,Engine Off,0,864,40.77778,"Imlay, NV",-119.207656,Map it,3.16863,0.0,12:01 PM,3407,8/27/18 12:01,0.47163449399999996,2
507,69,5836.0,94,8/27/18,S,Engine Off,0,865,40.77778,"Imlay, NV",-119.207656,Map it,3.16863,0.0,12:02 PM,3407,8/27/18 12:02,0.47171879,2
508,70,5836.0,94,8/27/18,S,Engine Off,0,866,40.77778,"Imlay, NV",-119.207656,Map it,3.16863,0.0,12:03 PM,3407,8/27/18 12:03,0.471803085,2
509,71,5836.0,94,8/27/18,S,Engine Off,0,867,40.77805,,-119.208003,Map it,3.16863,2.05029,12:04 PM,3407,8/27/18 12:04,0.471887381,2
510,72,5836.0,94,8/27/18,NW,Engine Off,0,868,40.778546,,-119.20844699999999,Map it,3.23076,1.6775099999999998,12:05 PM,3407,8/27/18 12:05,0.47197167700000003,2
511,73,5836.0,94,8/27/18,N,Engine Off,0,869,40.779178,,-119.208431,Map it,3.23076,3.6656699999999995,12:06 PM,3407,8/27/18 12:06,0.47205597200000005,2
512,74,5836.0,94,8/27/18,NE,Engine Off,0,870,40.77984,,-119.208317,Map it,3.2928900000000003,1.92603,12:07 PM,3407,8/27/18 12:07,0.472140268,2
513,75,5836.0,95,8/27/18,E,Engine Off,0,871,40.780327,,-119.20728500000001,Map it,3.3550199999999997,2.73372,12:08 PM,3407,8/27/18 12:08,0.47222456399999996,2
514,76,5836.0,95,8/27/18,E,Engine Off,0,872,40.780599,"Imlay, NV",-119.206622,Map it,3.41715,0.55917,12:09 PM,3407,8/27/18 12:09,0.47230885899999997,2
515,77,5836.0,95,8/27/18,E,Engine Off,0,873,40.780599,"Imlay, NV",-119.206622,Map it,3.41715,0.0,12:10 PM,3407,8/27/18 12:10,0.472393155,2
516,78,5836.0,94,8/27/18,E,Engine Off,0,874,40.780599,"Imlay, NV",-119.206622,Map it,3.41715,0.0,12:11 PM,3407,8/27/18 12:11,0.472477451,2
517,79,5836.0,94,8/27/18,E,Engine Off,0,875,40.780599,"Imlay, NV",-119.206622,Map it,3.41715,0.0,12:12 PM,3407,8/27/18 12:12,0.47256174700000003,2
518,80,5836.0,95,8/27/18,E,Engine Off,0,876,40.780599,"Imlay, NV",-119.206622,Map it,3.41715,0.0,12:13 PM,3407,8/27/18 12:13,0.47264604200000004,2
519,81,5836.0,94,8/27/18,E,Engine Off,0,877,40.780599,"Imlay, NV",-119.206622,Map it,3.41715,0.0,12:14 PM,3407,8/27/18 12:14,0.47273033799999997,2
520,82,5836.0,95,8/27/18,E,Engine Off,0,878,40.780599,"Imlay, NV",-119.206622,Map it,3.41715,0.0,12:15 PM,3407,8/27/18 12:15,0.472814634,2
521,83,5836.0,95,8/27/18,E,Engine Off,0,879,40.780599,"Imlay, NV",-119.206622,Map it,3.41715,0.0,12:17 PM,3407,8/27/18 12:17,0.472983225,2
522,84,5836.0,95,8/27/18,E,Engine Off,0,880,40.780599,"Imlay, NV",-119.206622,Map it,3.41715,0.0,12:19 PM,3407,8/27/18 12:19,0.47315181700000003,2
523,85,5836.0,95,8/27/18,E,Engine Off,0,881,40.780599,"Imlay, NV",-119.206622,Map it,3.41715,0.0,12:20 PM,3407,8/27/18 12:20,0.47323611200000004,2
524,86,5836.0,94,8/27/18,E,Engine Off,0,882,40.780599,"Imlay, NV",-119.206622,Map it,3.41715,0.0,12:20 PM,3407,8/27/18 12:20,0.47323611200000004,2
525,87,5836.0,95,8/27/18,E,Engine Off,0,883,40.780599,"Imlay, NV",-119.206622,Map it,3.41715,0.0,12:22 PM,3407,8/27/18 12:22,0.473404704,2
526,88,5836.0,94,8/27/18,E,Engine Off,0,884,40.780599,"Imlay, NV",-119.206622,Map it,3.41715,0.0,12:32 PM,3407,8/27/18 12:32,0.47424766100000004,2
527,89,5836.0,94,8/27/18,W,Engine Off,0,885,40.780573,,-119.206979,Map it,3.41715,3.85206,12:33 PM,3407,8/27/18 12:33,0.474331957,2
528,90,5836.0,93,8/27/18,W,Engine Off,0,886,40.780689,,-119.207927,Map it,3.47928,2.98224,12:34 PM,3407,8/27/18 12:34,0.47441625200000004,2
529,91,5836.0,93,8/27/18,W,Engine Off,0,887,40.780838,,-119.20883899999998,Map it,3.54141,3.47928,12:35 PM,3407,8/27/18 12:35,0.47450054799999997,2
530,92,5836.0,94,8/27/18,W,Engine Off,0,888,40.780992,,-119.209736,Map it,3.60354,2.54733,12:36 PM,3407,8/27/18 12:36,0.474584844,2
531,93,5836.0,94,8/27/18,W,Engine Off,0,889,40.781288,,-119.21054,Map it,3.60354,2.67159,12:37 PM,3407,8/27/18 12:37,0.47466913899999996,2
532,94,5836.0,94,8/27/18,NW,Engine Off,0,890,40.781702,,-119.211275,Map it,3.6656699999999995,2.3609400000000003,12:38 PM,3407,8/27/18 12:38,0.474753435,2
533,95,5836.0,94,8/27/18,NW,Engine Off,0,891,40.782216999999996,,-119.212069,Map it,3.7278,2.9201099999999998,12:39 PM,3407,8/27/18 12:39,0.47483773100000004,2
534,96,5836.0,94,8/27/18,W,Engine Off,0,892,40.782561,,-119.212847,Map it,3.7899300000000005,2.54733,12:40 PM,3407,8/27/18 12:40,0.474922026,2
535,97,5836.0,94,8/27/18,W,Engine Off,0,893,40.782561,,-119.212847,Map it,3.7899300000000005,2.54733,12:42 PM,3407,8/27/18 12:42,0.47509061799999996,2
536,98,5836.0,94,8/27/18,W,Engine Off,0,894,40.782561,,-119.212847,Map it,3.7899300000000005,2.54733,12:45 PM,3407,8/27/18 12:45,0.475343505,2
537,99,5836.0,95,8/27/18,W,Engine Off,0,895,40.782755,,-119.213408,Map it,3.7899300000000005,3.41715,12:46 PM,3407,8/27/18 12:46,0.47542780100000004,2
538,100,5836.0,95,8/27/18,W,Engine Off,0,896,40.782755,,-119.213408,Map it,3.7899300000000005,3.41715,12:47 PM,3407,8/27/18 12:47,0.475512096,2
539,101,5836.0,93,8/27/18,SE,Engine Off,0,897,40.782508,,-119.212694,Map it,3.85206,2.98224,12:48 PM,3407,8/27/18 12:48,0.47559639200000003,2
540,102,5836.0,93,8/27/18,SE,Engine Off,0,898,40.782164,"Imlay, NV",-119.212753,Map it,3.85206,0.06213,12:49 PM,3407,8/27/18 12:49,0.47568068799999996,2
541,103,5836.0,93,8/27/18,SE,Engine Off,0,899,40.782151,"Imlay, NV",-119.212705,Map it,3.85206,0.31065,12:51 PM,3407,8/27/18 12:51,0.47584927899999996,2
542,104,5836.0,93,8/27/18,S,Engine Off,0,900,40.78163,,-119.213082,Map it,3.91419,2.79585,12:52 PM,3407,8/27/18 12:52,0.475933575,2
543,105,5836.0,94,8/27/18,NW,Engine Off,0,901,40.781656,,-119.21386299999999,Map it,3.97632,3.23076,12:53 PM,3407,8/27/18 12:53,0.47601787100000004,2
544,106,5836.0,93,8/27/18,NW,Engine Off,0,902,40.781656,"Imlay, NV",-119.21386299999999,Map it,3.97632,0.0,12:55 PM,3407,8/27/18 12:55,0.47618646200000003,2
545,107,5836.0,93,8/27/18,NW,Engine Off,0,903,40.781656,"Imlay, NV",-119.21386299999999,Map it,3.97632,0.0,12:56 PM,3407,8/27/18 12:56,0.47627075799999996,2
546,108,5836.0,93,8/27/18,NW,Engine Off,0,904,40.781656,"Imlay, NV",-119.21386299999999,Map it,3.97632,0.0,12:56 PM,3407,8/27/18 12:56,0.47627075799999996,2
547,109,5836.0,92,8/27/18,NW,Engine Off,0,905,40.781656,"Imlay, NV",-119.21386299999999,Map it,3.97632,0.0,12:57 PM,3407,8/27/18 12:57,0.476355054,2
548,110,5836.0,93,8/27/18,NW,Engine Off,0,906,40.781656,"Imlay, NV",-119.21386299999999,Map it,3.97632,0.0,12:58 PM,3407,8/27/18 12:58,0.476439349,2
549,111,5836.0,93,8/27/18,NW,Engine Off,0,907,40.781656,"Imlay, NV",-119.21386299999999,Map it,3.97632,0.0,1:09 PM,3407,8/27/18 13:09,0.47736660200000003,2
550,112,5836.0,93,8/27/18,NW,Engine Off,0,908,40.781656,"Imlay, NV",-119.21386299999999,Map it,3.97632,0.0,1:10 PM,3407,8/27/18 13:10,0.47745089799999996,2
551,113,5836.0,93,8/27/18,NW,Engine Off,0,909,40.781656,"Imlay, NV",-119.21386299999999,Map it,3.97632,0.0,1:10 PM,3407,8/27/18 13:10,0.47745089799999996,2
552,114,5836.0,93,8/27/18,NW,Engine Off,0,910,40.781656,"Imlay, NV",-119.21386299999999,Map it,3.97632,0.0,1:11 PM,3407,8/27/18 13:11,0.47753519299999997,2
553,115,5836.0,94,8/27/18,NW,Engine Off,0,911,40.781656,"Imlay, NV",-119.21386299999999,Map it,3.97632,0.0,1:12 PM,3407,8/27/18 13:12,0.477619489,2
554,116,5836.0,94,8/27/18,NW,Engine Off,0,912,40.781656,"Imlay, NV",-119.21386299999999,Map it,3.97632,0.0,1:13 PM,3407,8/27/18 13:13,0.477703785,2
555,117,5836.0,94,8/27/18,E,Engine Off,0,914,40.781292,,-119.21280900000001,Map it,4.03845,2.60946,1:14 PM,3407,8/27/18 13:14,0.47778808100000003,2
556,118,5836.0,94,8/27/18,E,Engine Off,0,915,40.781141,,-119.212557,Map it,4.03845,0.06213,1:15 PM,3407,8/27/18 13:15,0.477872376,2
557,119,5836.0,94,8/27/18,E,Engine Off,0,916,40.781141,"Imlay, NV",-119.212557,Map it,4.03845,0.06213,1:16 PM,3407,8/27/18 13:16,0.477956672,2
558,120,5836.0,93,8/27/18,E,Engine Off,0,917,40.781141,"Imlay, NV",-119.212557,Map it,4.03845,0.06213,1:17 PM,3407,8/27/18 13:17,0.47804096799999996,2
559,121,5836.0,93,8/27/18,E,Engine Off,0,918,40.781141,"Imlay, NV",-119.212557,Map it,4.03845,0.06213,1:18 PM,3407,8/27/18 13:18,0.47812526299999997,2
560,122,5836.0,93,8/27/18,E,Engine Off,0,919,40.781141,"Imlay, NV",-119.212557,Map it,4.03845,0.06213,1:19 PM,3407,8/27/18 13:19,0.478209559,2
561,123,5836.0,93,8/27/18,E,Engine Off,0,920,40.781141,"Imlay, NV",-119.212557,Map it,4.03845,0.06213,1:20 PM,3407,8/27/18 13:20,0.478293855,2
562,124,5836.0,94,8/27/18,E,Engine Off,0,921,40.781141,"Imlay, NV",-119.212557,Map it,4.03845,0.06213,1:21 PM,3407,8/27/18 13:21,0.47837815100000003,2
563,125,5836.0,93,8/27/18,E,Engine Off,0,922,40.781141,"Imlay, NV",-119.212557,Map it,4.03845,0.0,1:22 PM,3407,8/27/18 13:22,0.47846244600000004,2
564,126,5836.0,93,8/27/18,E,Engine Off,0,923,40.781141,"Imlay, NV",-119.212557,Map it,4.03845,0.0,1:23 PM,3407,8/27/18 13:23,0.478546742,2
565,127,5836.0,93,8/27/18,E,Engine Off,0,924,40.781141,"Imlay, NV",-119.212557,Map it,4.03845,0.0,1:24 PM,3407,8/27/18 13:24,0.47863103799999995,2
566,128,5836.0,93,8/27/18,NE,Engine Off,0,925,40.781554,"Imlay, NV",-119.212324,Map it,4.03845,3.0443700000000002,1:25 PM,3407,8/27/18 13:25,0.47871533299999997,2
567,129,5836.0,93,8/27/18,SE,Engine Off,0,926,40.781864,,-119.211597,Map it,4.10058,2.79585,1:26 PM,3407,8/27/18 13:26,0.478799629,2
568,130,5836.0,93,8/27/18,SE,Engine Off,0,927,40.781484999999996,,-119.21087,Map it,4.16271,3.23076,1:27 PM,3407,8/27/18 13:27,0.478883925,2
569,131,5836.0,93,8/27/18,NE,Engine Off,0,928,40.781196,,-119.21019,Map it,4.16271,2.79585,1:28 PM,3407,8/27/18 13:28,0.478968221,2
570,132,5836.0,93,8/27/18,E,Engine Off,0,929,40.781011,,-119.20930600000001,Map it,4.22484,3.0443700000000002,1:29 PM,3407,8/27/18 13:29,0.47905251600000004,2
571,133,5836.0,93,8/27/18,E,Engine Off,0,930,40.780885999999995,,-119.20844,Map it,4.286969999999999,2.79585,1:30 PM,3407,8/27/18 13:30,0.479136812,2
572,134,5836.0,93,8/27/18,NE,Engine Off,0,931,40.781089,,-119.207598,Map it,4.3491,2.98224,1:31 PM,3407,8/27/18 13:31,0.47922110799999995,2
573,135,5836.0,93,8/27/18,NE,Engine Off,0,932,40.781089,,-119.207598,Map it,4.3491,2.98224,1:32 PM,3407,8/27/18 13:32,0.47930540299999996,2
574,136,5836.0,93,8/27/18,NE,Engine Off,0,933,40.781089,,-119.207598,Map it,4.3491,2.98224,1:34 PM,3407,8/27/18 13:34,0.479473995,2
575,137,5836.0,92,8/27/18,NE,Engine Off,0,934,40.781089,,-119.207598,Map it,4.3491,0.0,1:35 PM,3407,8/27/18 13:35,0.47955829,2
576,138,5836.0,93,8/27/18,NE,Engine Off,0,935,40.781089,"Imlay, NV",-119.207598,Map it,4.3491,0.0,1:35 PM,3407,8/27/18 13:35,0.47955829,2
577,139,5836.0,93,8/27/18,NE,Engine Off,0,936,40.781089,"Imlay, NV",-119.207598,Map it,4.3491,0.0,1:35 PM,3407,8/27/18 13:35,0.47955829,2
578,140,5836.0,93,8/27/18,NE,Engine Off,0,937,40.781089,"Imlay, NV",-119.207598,Map it,4.3491,0.0,1:38 PM,3407,8/27/18 13:38,0.47981117799999995,2
579,141,5836.0,93,8/27/18,NE,Engine Off,0,938,40.781089,"Imlay, NV",-119.207598,Map it,4.3491,0.0,1:39 PM,3407,8/27/18 13:39,0.47989547299999996,2
580,142,5836.0,92,8/27/18,NE,Engine Off,0,939,40.781119,"Imlay, NV",-119.207479,Map it,4.3491,0.0,1:51 PM,3407,8/27/18 13:51,0.480907022,2
581,143,5836.0,92,8/27/18,NE,Engine Off,0,940,40.781237,"Imlay, NV",-119.207843,Map it,4.3491,0.18639,1:54 PM,3407,8/27/18 13:54,0.481159909,2
582,144,5836.0,92,8/27/18,NE,Engine Off,0,941,40.781119,"Imlay, NV",-119.207479,Map it,4.3491,0.0,1:53 PM,3407,8/27/18 13:53,0.48107561299999996,2
583,145,5836.0,92,8/27/18,NW,Engine Off,0,942,40.7816,"Imlay, NV",-119.208627,Map it,4.3491,2.11242,1:55 PM,3407,8/27/18 13:55,0.481244205,2
584,146,5836.0,92,8/27/18,NW,Engine Off,0,943,40.782218,,-119.20916000000001,Map it,4.411230000000001,2.60946,1:56 PM,3407,8/27/18 13:56,0.4813285,2
585,147,5836.0,92,8/27/18,W,Engine Off,0,944,40.782146000000004,,-119.209994,Map it,4.47336,2.60946,1:57 PM,3407,8/27/18 13:57,0.48141279600000003,2
586,148,5836.0,91,8/27/18,N,Engine Off,0,945,40.781852,,-119.21151299999998,Map it,4.53549,3.23076,2:00 PM,3407,8/27/18 14:00,0.48166568299999996,2
587,149,5836.0,92,8/27/18,W,Engine Off,0,946,40.781845000000004,,-119.21073899999999,Map it,4.53549,1.98816,1:58 PM,3407,8/27/18 13:58,0.481497092,2
588,150,5836.0,92,8/27/18,N,Engine Off,0,947,40.781852,,-119.21151299999998,Map it,4.53549,3.23076,2:03 PM,3407,8/27/18 14:03,0.48191857,2
589,151,5836.0,92,8/27/18,N,Engine Off,0,948,40.781852,,-119.21151299999998,Map it,4.53549,0.0,2:03 PM,3407,8/27/18 14:03,0.48191857,2
590,152,5836.0,92,8/27/18,N,Engine Off,0,949,40.781852,"Imlay, NV",-119.21151299999998,Map it,4.53549,0.0,2:05 PM,3407,8/27/18 14:05,0.482087162,2
591,153,5836.0,92,8/27/18,N,Engine Off,0,950,40.781852,"Imlay, NV",-119.21151299999998,Map it,4.53549,0.0,2:06 PM,3407,8/27/18 14:06,0.482171457,2
592,154,5836.0,92,8/27/18,N,Engine Off,0,951,40.781852,"Imlay, NV",-119.21151299999998,Map it,4.53549,0.0,2:13 PM,3407,8/27/18 14:13,0.482761527,2
593,155,5836.0,92,8/27/18,N,Engine Off,0,952,40.781852,"Imlay, NV",-119.21151299999998,Map it,4.53549,0.0,2:13 PM,3407,8/27/18 14:13,0.482761527,2
594,156,5836.0,92,8/27/18,N,Engine Off,0,953,40.781852,"Imlay, NV",-119.21151299999998,Map it,4.53549,0.0,2:14 PM,3407,8/27/18 14:14,0.48284582299999995,2
595,157,5836.0,93,8/27/18,N,Engine Off,0,954,40.781852,"Imlay, NV",-119.21151299999998,Map it,4.53549,0.0,2:15 PM,3407,8/27/18 14:15,0.482930119,2
596,158,5836.0,93,8/27/18,N,Engine Off,0,955,40.781852,"Imlay, NV",-119.21151299999998,Map it,4.53549,0.0,2:16 PM,3407,8/27/18 14:16,0.483014415,2
597,159,5836.0,91,8/27/18,N,Engine Off,0,956,40.781852,"Imlay, NV",-119.21151299999998,Map it,4.53549,0.0,2:17 PM,3407,8/27/18 14:17,0.48309871,2
598,160,5836.0,92,8/27/18,N,Engine Off,0,957,40.781852,"Imlay, NV",-119.21151299999998,Map it,4.53549,0.0,2:18 PM,3407,8/27/18 14:18,0.483183006,2
599,161,5836.0,92,8/27/18,N,Engine Off,0,958,40.781852,"Imlay, NV",-119.21151299999998,Map it,4.53549,0.0,2:19 PM,3407,8/27/18 14:19,0.483267302,2
600,162,5836.0,92,8/27/18,N,Engine Off,0,959,40.781852,"Imlay, NV",-119.21151299999998,Map it,4.53549,0.0,2:19 PM,3407,8/27/18 14:19,0.483267302,2
601,163,5836.0,92,8/27/18,N,Engine Off,0,960,40.781852,"Imlay, NV",-119.21151299999998,Map it,4.53549,0.0,2:20 PM,3407,8/27/18 14:20,0.483351597,2
602,164,5836.0,92,8/27/18,N,Engine Off,0,961,40.781852,"Imlay, NV",-119.21151299999998,Map it,4.53549,0.0,2:21 PM,3407,8/27/18 14:21,0.48343589299999995,2
603,165,5836.0,92,8/27/18,N,Engine Off,0,962,40.781852,"Imlay, NV",-119.21151299999998,Map it,4.53549,0.0,2:23 PM,3407,8/27/18 14:23,0.483604485,2
604,166,5836.0,92,8/27/18,N,Engine Off,0,963,40.781852,"Imlay, NV",-119.21151299999998,Map it,4.53549,0.0,2:24 PM,3407,8/27/18 14:24,0.48368878,2
605,167,5836.0,92,8/27/18,N,Engine Off,0,964,40.781852,"Imlay, NV",-119.21151299999998,Map it,4.53549,0.0,2:25 PM,3407,8/27/18 14:25,0.483773076,2
606,168,5836.0,92,8/27/18,N,Engine Off,0,965,40.781852,"Imlay, NV",-119.21151299999998,Map it,4.53549,0.0,2:26 PM,3407,8/27/18 14:26,0.483857372,2
607,169,5836.0,92,8/27/18,N,Engine Off,0,966,40.781852,"Imlay, NV",-119.21151299999998,Map it,4.53549,0.0,2:27 PM,3407,8/27/18 14:27,0.483941667,2
608,170,5836.0,92,8/27/18,SE,Engine Off,0,967,40.781649,"Imlay, NV",-119.21109399999999,Map it,4.59762,2.67159,2:28 PM,3407,8/27/18 14:28,0.48402596299999995,2
609,171,5836.0,92,8/27/18,N,Engine Off,0,968,40.782055,,-119.21068500000001,Map it,4.59762,1.98816,2:29 PM,3407,8/27/18 14:29,0.484110259,2
610,172,5836.0,92,8/27/18,E,Engine Off,0,969,40.782375,,-119.210182,Map it,4.65975,1.2426,2:30 PM,3407,8/27/18 14:30,0.484194554,2
611,173,5836.0,93,8/27/18,E,Engine Off,0,970,40.782375,,-119.210182,Map it,4.65975,1.2426,2:31 PM,3407,8/27/18 14:31,0.48427885,2
612,174,5836.0,93,8/27/18,E,Engine Off,0,971,40.782375,,-119.210182,Map it,4.65975,1.2426,2:32 PM,3407,8/27/18 14:32,0.484363146,2
613,175,5836.0,91,8/27/18,NE,Engine Off,0,972,40.782864000000004,,-119.20946299999999,Map it,4.7218800000000005,2.73372,2:33 PM,3407,8/27/18 14:33,0.484447442,2
614,176,5836.0,91,8/27/18,NE,Engine Off,0,973,40.783094,,-119.208924,Map it,4.7218800000000005,1.98816,2:34 PM,3407,8/27/18 14:34,0.484531737,2
615,177,5836.0,91,8/27/18,NW,Engine Off,0,974,40.783514000000004,,-119.20908100000001,Map it,4.784009999999999,2.11242,2:35 PM,3407,8/27/18 14:35,0.48461603299999995,2
616,178,5836.0,91,8/27/18,NW,Engine Off,0,975,40.783864,,-119.209579,Map it,4.784009999999999,2.29881,2:36 PM,3407,8/27/18 14:36,0.484700329,2
617,179,5836.0,91,8/27/18,NW,Engine Off,0,976,40.784157,,-119.209975,Map it,4.84614,0.6213,2:37 PM,3407,8/27/18 14:37,0.484784624,2
